Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 16384, 1, 256, 512, 0.399362, 0.657668, 0.0224624, 0.0174358, 0.0255604, 11.0929, 0.0581424, 1, 4, 1, 1, 1, 1, 40.1312, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
