Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.273218, 0.542011, 0.0154513, 0.0165126, 0.0165855, 4.6412, 0.0327561, 1, 4, 1, 1, 1, 1, 3.28769, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
